region,sex,enddate,ethnicity,age,vote
Wales,female,2015-05-01,white,Age 20 to 24,UKIP
Wales,female,2015-05-04,mixed,Age 20 to 24,PC
Wales,female,2015-05-06,white,Age 60 to 64,Other
Wales,male,2015-04-09,white,Age 50 to 54,PC
Wales,female,2015-04-10,white,Age 50 to 54,Con
Wales,male,2015-04-10,white,Age 30 to 34,Con
Wales,female,2015-04-02,white,Age 60 to 64,UKIP
Wales,male,2015-05-05,white,Age 50 to 54,Lab
Wales,female,2015-04-14,white,Age 45 to 49,PC
Wales,female,2015-04-06,white,Age 65 to 69,Con
Wales,male,2015-04-22,white,Age 65 to 69,Con
Wales,female,2015-04-13,white,Age 65 to 69,Grn
Wales,female,2015-04-19,white,Age 65 to 69,Lab
Wales,female,2015-04-21,white,Age 65 to 69,Lab
Wales,male,2015-04-19,white,Age 75 to 79,Lab
Wales,male,2015-04-29,white,Age 70 to 74,Don't know
Wales,male,2015-04-28,white,Age 40 to 44,Grn
Wales,male,2015-04-17,white,Age 25 to 29,Con
Wales,male,2015-04-01,white,Age 30 to 34,Lab
Wales,male,2015-04-29,white,Age 45 to 49,Lab
Wales,male,2015-04-26,white,Age 70 to 74,Lab
Wales,male,2015-04-18,white,Age 75 to 79,Con
Wales,female,2015-04-18,white,Age 55 to 59,PC
Wales,female,2015-04-26,white,Age 40 to 44,Con
Wales,male,2015-04-08,white,Age 60 to 64,Don't know
Wales,male,2015-04-16,white,Age 65 to 69,UKIP
Wales,female,2015-04-24,white,Age 35 to 39,Don't know
Wales,female,2015-04-25,white,Age 65 to 69,Con
Wales,female,2015-05-03,white,Age 50 to 54,Con
Wales,female,2015-05-02,white,Age 65 to 69,Con
Wales,female,2015-04-23,white,Age 50 to 54,Lab
Wales,male,2015-04-30,white,Age 75 to 79,Lab
Wales,male,2015-04-10,white,Age 50 to 54,PC
Wales,female,2015-04-10,white,Age 65 to 69,Lab
Wales,male,2015-04-13,white,Age 70 to 74,Lab
Wales,female,2015-04-11,white,Age 60 to 64,Con
Wales,female,2015-04-27,white,Age 50 to 54,Lab
Wales,female,2015-04-18,white,Age 70 to 74,Lab
Wales,male,2015-04-20,white,Age 65 to 69,Lab
Wales,male,2015-04-04,white,Age 70 to 74,Don't know
Wales,male,2015-03-30,white,Age 20 to 24,Lab
Wales,male,2015-04-21,white,Age 70 to 74,Con
Wales,female,2015-05-04,white,Age 60 to 64,Lab
South East,female,2015-05-04,white,Age 30 to 34,Lab
South East,female,2015-05-05,white,Age 25 to 29,Con
South East,female,2015-04-12,white,Age 30 to 34,Con
South East,male,2015-04-18,white,Age 55 to 59,Con
South East,female,2015-05-04,white,Age 20 to 24,Lab
South East,female,2015-05-02,white,Age 45 to 49,Con
South East,male,2015-04-09,white,Age 45 to 49,Con
South East,male,2015-04-08,white,Age 65 to 69,UKIP
South East,male,2015-04-02,white,Age 30 to 34,Con
South East,female,2015-04-11,white,Age 70 to 74,Lab
South East,female,2015-04-19,white,Age 45 to 49,Con
South East,male,2015-04-06,white,Age 75 to 79,Con
South East,female,2015-04-24,white,Age 50 to 54,Con
South East,male,2015-04-08,white,Age 40 to 44,Con
South East,female,2015-04-09,white,Age 60 to 64,Lab
South East,male,2015-04-01,white,Age 55 to 59,Don't vote
South East,male,2015-04-19,white,Age 45 to 49,Lab
South East,male,2015-04-13,white,Age 50 to 54,Lab
South East,male,2015-05-06,white,Age 50 to 54,Grn
South East,male,2015-04-20,white,Age 45 to 49,Grn
South East,female,2015-04-19,white,Age 45 to 49,Con
South East,male,2015-05-06,white,Age 35 to 39,Grn
South East,female,2015-04-16,white,Age 40 to 44,Lab
South East,female,2015-04-29,white,Age 30 to 34,Don't vote
South East,male,2015-04-08,white,Age 55 to 59,Lab
South East,female,2015-04-18,white,Age 20 to 24,Con
South East,female,2015-04-15,white,Age 45 to 49,Lab
South East,female,2015-04-20,white,Age 30 to 34,Con
South East,male,2015-04-20,asian,Age 30 to 34,Con
South East,male,2015-04-27,white,Age 35 to 39,Lab
South East,female,2015-04-24,asian,Age 20 to 24,Con
South East,male,2015-04-28,white,Age 70 to 74,LD
South East,male,2015-05-05,white,Age 60 to 64,Con
South East,female,2015-04-07,white,Age 50 to 54,Con
West Midlands,male,2015-04-14,white,Age 20 to 24,Con
West Midlands,female,2015-04-29,white,Age 50 to 54,Don't know
West Midlands,female,2015-04-21,white,Age 60 to 64,Lab
West Midlands,female,2015-04-05,white,Age 50 to 54,Grn
West Midlands,female,2015-04-21,white,Age 55 to 59,Con
West Midlands,male,2015-05-01,white,Age 45 to 49,UKIP
West Midlands,male,2015-03-31,white,Age 45 to 49,Lab
West Midlands,male,2015-04-08,white,Age 65 to 69,Con
West Midlands,female,2015-04-13,white,Age 20 to 24,UKIP
West Midlands,female,2015-04-15,white,Age 75 to 79,Lab
West Midlands,female,2015-05-02,white,Age 20 to 24,Don't know
West Midlands,female,2015-04-13,white,Age 55 to 59,Lab
West Midlands,female,2015-04-01,white,Age 55 to 59,Con
West Midlands,female,2015-04-20,white,Age 45 to 49,UKIP
West Midlands,male,2015-04-29,white,Age 40 to 44,Lab
West Midlands,male,2015-04-30,white,Age 75 to 79,UKIP
West Midlands,female,2015-04-24,white,Age 65 to 69,LD
West Midlands,female,2015-04-27,white,Age 50 to 54,Con
West Midlands,male,2015-04-25,white,Age 60 to 64,UKIP
West Midlands,female,2015-04-30,white,Age 50 to 54,Con
West Midlands,female,2015-04-13,white,Age 30 to 34,Lab
West Midlands,male,2015-04-19,white,Age 60 to 64,Con
West Midlands,female,2015-04-21,asian,Age 50 to 54,Con
West Midlands,female,2015-05-06,white,Age 55 to 59,Con
West Midlands,female,2015-04-23,white,Age 45 to 49,Lab
West Midlands,female,2015-04-26,white,Age 30 to 34,Con
West Midlands,male,2015-04-16,white,Age 50 to 54,Don't know
West Midlands,female,2015-04-11,white,Age 60 to 64,Lab
West Midlands,female,2015-05-03,white,Age 65 to 69,LD
West Midlands,male,2015-04-26,white,Age 70 to 74,Con
North West,female,2015-04-13,white,Age 20 to 24,Lab
West Midlands,male,2015-03-30,white,Age 45 to 49,UKIP
West Midlands,male,2015-04-15,white,Age 55 to 59,Grn
West Midlands,female,2015-04-29,white,Age 55 to 59,Con
West Midlands,male,2015-04-12,white,Age 55 to 59,Con
West Midlands,male,2015-05-03,white,Age 40 to 44,UKIP
West Midlands,male,2015-05-03,white,Age 65 to 69,Lab
West Midlands,female,2015-04-24,white,Age 65 to 69,UKIP
West Midlands,female,2015-05-05,white,Age 20 to 24,Con
West Midlands,male,2015-05-06,white,Age 50 to 54,Lab
West Midlands,male,2015-04-24,white,Age 40 to 44,Con
North West,male,2015-04-21,white,Age 40 to 44,Lab
North West,female,2015-04-29,white,Age 40 to 44,Lab
North West,male,2015-04-02,white,Age 60 to 64,Grn
North West,female,2015-05-04,white,Age 75 to 79,Con
North West,male,2015-03-31,white,Age 60 to 64,UKIP
North West,female,2015-04-10,white,Age 30 to 34,Con
North West,female,2015-04-25,white,Age 70 to 74,Con
North West,female,2015-04-10,white,Age 65 to 69,Don't know
North West,male,2015-04-06,white,Age 70 to 74,UKIP
North West,female,2015-04-03,white,Age 20 to 24,Don't vote
North West,male,2015-04-06,white,Age 45 to 49,Lab
North West,female,2015-03-31,white,Age 65 to 69,LD
North West,male,2015-04-23,white,Age 40 to 44,Con
North West,male,2015-05-03,white,Age 55 to 59,Con
North West,male,2015-04-01,white,Age 30 to 34,Don't know
North West,male,2015-04-02,white,Age 60 to 64,Lab
North West,male,2015-04-25,mixed,Age 40 to 44,Lab
North West,male,2015-04-13,black,Age 40 to 44,LD
North West,male,2015-03-31,white,Age 30 to 34,Don't vote
North West,male,2015-05-01,white,Age 45 to 49,LD
North West,male,2015-04-19,white,Age 20 to 24,Con
North West,female,2015-05-01,white,Age 65 to 69,UKIP
North West,female,2015-04-29,white,Age 60 to 64,Con
North West,female,2015-05-02,white,Age 35 to 39,Grn
North West,male,2015-04-14,white,Age 70 to 74,Other
North West,female,2015-04-23,white,Age 35 to 39,Don't know
North West,male,2015-04-30,white,Age 65 to 69,UKIP
North West,male,2015-05-02,white,Age 25 to 29,Grn
North West,female,2015-04-13,white,Age 20 to 24,Lab
North West,female,2015-04-25,white,Age 50 to 54,Con
North West,male,2015-04-07,white,Age 65 to 69,Lab
North West,female,2015-04-01,white,Age 50 to 54,Con
Wales,female,2015-05-03,white,Age 35 to 39,LD
Wales,male,2015-04-27,white,Age 45 to 49,UKIP
Wales,female,2015-04-13,white,Age 30 to 34,Don't know
Wales,female,2015-04-12,white,Age 30 to 34,Don't know
Wales,female,2015-05-05,white,Age 30 to 34,LD
Wales,male,2015-04-30,white,Age 65 to 69,Con
Wales,male,2015-04-24,white,Age 20 to 24,LD
Wales,male,2015-04-28,white,Age 55 to 59,UKIP
Wales,male,2015-04-03,white,Age 55 to 59,UKIP
Wales,female,2015-04-17,white,Age 55 to 59,Con
Wales,male,2015-04-25,white,Age 70 to 74,Lab
Wales,male,2015-04-01,white,Age 50 to 54,Con
Wales,male,2015-04-19,white,Age 50 to 54,Con
Wales,male,2015-04-28,white,Age 30 to 34,Con
Wales,female,2015-04-16,white,Age 55 to 59,Con
Wales,male,2015-04-06,white,Age 20 to 24,Grn
Wales,male,2015-05-01,white,Age 70 to 74,Lab
Wales,male,2015-04-10,white,Age 50 to 54,UKIP
Wales,male,2015-03-30,white,Age 65 to 69,UKIP
Wales,male,2015-04-02,white,Age 20 to 24,UKIP
Wales,female,2015-04-04,white,Age 30 to 34,UKIP
Wales,female,2015-04-28,white,Age 65 to 69,UKIP
Wales,male,2015-04-10,white,Age 60 to 64,Con
Wales,male,2015-05-01,white,Age 40 to 44,Lab
Wales,female,2015-04-09,white,Age 25 to 29,Grn
Wales,male,2015-04-29,white,Age 30 to 34,Grn
Wales,female,2015-05-05,white,Age 60 to 64,Lab
Wales,female,2015-04-12,white,Age 40 to 44,Don't know
Wales,female,2015-05-04,white,Age 45 to 49,Con
Wales,male,2015-04-13,white,Age 65 to 69,Con
Wales,female,2015-05-04,white,Age 65 to 69,Con
Wales,male,2015-04-30,white,Age 50 to 54,UKIP
Wales,female,2015-05-02,white,Age 55 to 59,Don't know
Wales,male,2015-04-21,white,Age 45 to 49,Lab
Wales,male,2015-04-06,white,Age 25 to 29,Con
Wales,male,2015-05-01,white,Age 60 to 64,Lab
Wales,male,2015-05-03,white,Age 65 to 69,Con
Wales,female,2015-04-14,white,Age 60 to 64,Lab
Wales,male,2015-04-01,white,Age 20 to 24,Lab
Wales,female,2015-04-02,white,Age 55 to 59,Don't vote
Wales,male,2015-04-03,white,Age 75 to 79,Lab
Wales,female,2015-04-07,white,Age 60 to 64,Con
Wales,male,2015-04-18,white,Age 25 to 29,Lab
Wales,female,2015-04-15,white,Age 35 to 39,Lab
Wales,male,2015-04-09,white,Age 70 to 74,Lab
Wales,male,2015-04-24,mixed,Age 60 to 64,PC
Wales,male,2015-05-01,white,Age 55 to 59,Con
Wales,female,2015-05-02,white,Age 55 to 59,Lab
Wales,female,2015-04-21,white,Age 65 to 69,Con
Wales,female,2015-05-01,white,Age 50 to 54,Lab
Wales,female,2015-04-08,white,Age 45 to 49,Con
Wales,female,2015-05-02,white,Age 50 to 54,Con
Wales,male,2015-04-20,white,Age 85 and over,LD
Wales,female,2015-04-19,white,Age 45 to 49,Con
Wales,male,2015-04-14,white,Age 50 to 54,Con
Wales,male,2015-04-07,white,Age 70 to 74,UKIP
Wales,male,2015-05-02,white,Age 60 to 64,UKIP
Wales,female,2015-04-28,white,Age 35 to 39,PC
Wales,female,2015-04-24,white,Age 50 to 54,Lab
Wales,male,2015-04-27,white,Age 65 to 69,Con
Wales,male,2015-04-16,white,Age 60 to 64,UKIP
Wales,female,2015-05-05,white,Age 50 to 54,Don't vote
Wales,male,2015-04-13,white,Age 70 to 74,Con
Wales,male,2015-04-05,white,Age 65 to 69,Lab
Wales,female,2015-04-07,white,Age 45 to 49,Lab
Wales,female,2015-04-09,white,Age 50 to 54,Other
Wales,male,2015-04-26,white,Age 55 to 59,UKIP
Wales,female,2015-04-16,white,Age 65 to 69,LD
Wales,male,2015-05-05,white,Age 70 to 74,UKIP
Wales,female,2015-05-03,white,Age 40 to 44,Con
Wales,female,2015-04-02,white,Age 30 to 34,Lab
Wales,male,2015-04-14,white,Age 30 to 34,Don't know
Wales,male,2015-04-06,white,Age 70 to 74,Con
Wales,male,2015-04-21,white,Age 50 to 54,Con
East Midlands,female,2015-04-27,white,Age 65 to 69,Con
East Midlands,female,2015-05-02,white,Age 65 to 69,Lab
East Midlands,male,2015-04-20,white,Age 30 to 34,Grn
East Midlands,male,2015-03-30,white,Age 55 to 59,Lab
East Midlands,female,2015-04-23,white,Age 40 to 44,Con
East Midlands,male,2015-04-28,white,Age 60 to 64,Con
East Midlands,male,2015-04-19,white,Age 70 to 74,Con
East Midlands,male,2015-04-23,white,Age 50 to 54,Con
East Midlands,female,2015-05-04,white,Age 55 to 59,Lab
East Midlands,female,2015-03-31,white,Age 50 to 54,Lab
East Midlands,female,2015-04-30,white,Age 35 to 39,Grn
East Midlands,female,2015-04-25,white,Age 65 to 69,Con
East Midlands,male,2015-04-15,white,Age 65 to 69,Lab
East Midlands,female,2015-04-20,white,Age 30 to 34,Lab
East Midlands,male,2015-04-01,white,Age 45 to 49,Con
East Midlands,female,2015-04-23,white,Age 50 to 54,Con
East Midlands,male,2015-05-02,white,Age 20 to 24,Lab
East Midlands,male,2015-04-04,white,Age 75 to 79,Con
East Midlands,female,2015-04-14,white,Age 30 to 34,Don't vote
East Midlands,female,2015-04-25,white,Age 65 to 69,Con
East Midlands,female,2015-04-24,white,Age 55 to 59,Con
East Midlands,female,2015-05-06,white,Age 55 to 59,Lab
East Midlands,male,2015-04-14,white,Age 40 to 44,UKIP
East Midlands,male,2015-03-30,white,Age 65 to 69,UKIP
East Midlands,male,2015-04-16,white,Age 30 to 34,Con
East Midlands,female,2015-04-27,white,Age 18 to 19,Lab
East Midlands,male,2015-04-27,white,Age 35 to 39,Con
East Midlands,female,2015-04-13,white,Age 40 to 44,Lab
East Midlands,male,2015-04-08,white,Age 55 to 59,UKIP
East Midlands,male,2015-04-30,white,Age 30 to 34,Con
East Midlands,female,2015-03-30,white,Age 65 to 69,Con
Wales,female,2015-04-15,white,Age 60 to 64,PC
Wales,male,2015-04-15,white,Age 65 to 69,LD
Wales,male,2015-04-15,white,Age 60 to 64,PC
Wales,female,2015-05-03,white,Age 55 to 59,Don't know
Wales,male,2015-04-26,white,Age 50 to 54,Lab
Wales,female,2015-04-27,white,Age 50 to 54,Don't know
Wales,female,2015-04-15,white,Age 50 to 54,Don't know
Wales,male,2015-04-09,white,Age 30 to 34,Con
Wales,male,2015-04-19,white,Age 55 to 59,Lab
Wales,male,2015-04-08,white,Age 60 to 64,Don't know
Wales,male,2015-05-02,white,Age 20 to 24,PC
Wales,male,2015-03-30,white,Age 40 to 44,UKIP
Wales,female,2015-04-07,white,Age 45 to 49,PC
Wales,female,2015-04-23,white,Age 65 to 69,PC
Wales,female,2015-04-17,white,Age 65 to 69,PC
Wales,male,2015-04-15,white,Age 80 to 84,Lab
Wales,male,2015-03-30,white,Age 30 to 34,Lab
Wales,female,2015-04-20,white,Age 60 to 64,PC
Wales,male,2015-04-29,white,Age 35 to 39,PC
Wales,male,2015-05-04,white,Age 50 to 54,Grn
Wales,female,2015-04-19,white,Age 60 to 64,Lab
Wales,male,2015-04-06,white,Age 60 to 64,PC
Wales,female,2015-04-09,white,Age 35 to 39,PC
Wales,female,2015-04-02,white,Age 60 to 64,Con
Wales,male,2015-04-08,white,Age 25 to 29,Con
Wales,male,2015-04-14,white,Age 65 to 69,PC
Wales,male,2015-05-04,white,Age 60 to 64,Con
Wales,female,2015-04-12,white,Age 50 to 54,Lab
Wales,male,2015-04-26,white,Age 40 to 44,Con
Wales,male,2015-05-03,white,Age 50 to 54,PC
Wales,male,2015-04-07,white,Age 55 to 59,PC
Wales,male,2015-05-01,white,Age 20 to 24,PC
Wales,male,2015-05-02,white,Age 18 to 19,PC
Wales,male,2015-04-07,white,Age 55 to 59,Con
Wales,female,2015-04-11,other,Age 50 to 54,PC
Wales,male,2015-03-30,white,Age 70 to 74,Con
Wales,female,2015-04-19,white,Age 20 to 24,PC
Wales,female,2015-05-02,white,Age 65 to 69,Lab
Wales,female,2015-05-03,white,Age 60 to 64,PC
Wales,male,2015-04-05,white,Age 65 to 69,Con
Wales,male,2015-04-30,white,Age 60 to 64,UKIP
Wales,female,2015-04-14,white,Age 30 to 34,Don't vote
Wales,female,2015-04-24,white,Age 55 to 59,Lab
Wales,female,2015-04-25,white,Age 65 to 69,PC
South East,male,2015-04-17,white,Age 30 to 34,Con
South East,female,2015-04-13,white,Age 50 to 54,UKIP
South East,male,2015-04-24,white,Age 65 to 69,Con
South East,female,2015-04-03,white,Age 65 to 69,LD
South East,female,2015-05-01,white,Age 70 to 74,Con
South East,male,2015-05-04,white,Age 60 to 64,Con
South East,male,2015-04-09,white,Age 35 to 39,Con
South East,male,2015-05-06,white,Age 45 to 49,LD
South East,female,2015-05-06,white,Age 45 to 49,Con
South East,male,2015-04-26,white,Age 20 to 24,UKIP
South East,male,2015-04-27,white,Age 40 to 44,Grn
South East,male,2015-04-26,white,Age 30 to 34,Don't know
South East,female,2015-05-06,white,Age 65 to 69,Con
South East,female,2015-04-23,white,Age 60 to 64,UKIP
South East,female,2015-04-06,white,Age 55 to 59,Con
South East,female,2015-04-16,white,Age 55 to 59,Con
South East,male,2015-04-29,white,Age 60 to 64,Don't know
South East,female,2015-04-12,white,Age 40 to 44,Con
South East,female,2015-04-08,white,Age 65 to 69,UKIP
South East,male,2015-05-04,white,Age 30 to 34,Con
South East,female,2015-04-02,white,Age 60 to 64,Don't know
South East,female,2015-04-25,white,Age 45 to 49,Lab
South East,male,2015-04-03,white,Age 70 to 74,LD
South East,female,2015-05-02,white,Age 55 to 59,Con
South East,female,2015-04-13,white,Age 65 to 69,Lab
South East,male,2015-05-01,white,Age 60 to 64,Con
South East,female,2015-04-26,white,Age 65 to 69,Lab
South East,female,2015-04-24,white,Age 65 to 69,Con
South East,female,2015-04-28,white,Age 60 to 64,LD
South East,female,2015-04-07,white,Age 65 to 69,Con
South East,male,2015-04-01,white,Age 55 to 59,Con
South East,male,2015-05-05,white,Age 55 to 59,Con
South East,female,2015-05-01,white,Age 60 to 64,Con
South East,female,2015-04-07,white,Age 35 to 39,LD
South East,male,2015-04-23,white,Age 55 to 59,UKIP
South East,female,2015-04-29,white,Age 75 to 79,Con
East Midlands,female,2015-04-01,white,Age 30 to 34,Lab
East Midlands,female,2015-04-15,white,Age 50 to 54,LD
East Midlands,male,2015-04-23,white,Age 40 to 44,LD
East Midlands,female,2015-05-02,white,Age 50 to 54,Lab
East Midlands,female,2015-04-07,white,Age 70 to 74,Con
East Midlands,male,2015-04-01,asian,Age 30 to 34,Con
East Midlands,male,2015-04-02,mixed,Age 50 to 54,Lab
East Midlands,female,2015-03-31,white,Age 55 to 59,Lab
East Midlands,female,2015-04-24,white,Age 65 to 69,Con
East Midlands,male,2015-05-05,white,Age 70 to 74,Lab
East Midlands,female,2015-04-15,white,Age 30 to 34,Lab
East Midlands,female,2015-04-25,white,Age 55 to 59,Don't know
East Midlands,female,2015-04-29,white,Age 30 to 34,Grn
East Midlands,female,2015-04-09,white,Age 60 to 64,LD
East Midlands,male,2015-05-05,white,Age 55 to 59,Lab
East Midlands,female,2015-04-01,white,Age 25 to 29,Don't vote
East Midlands,female,2015-04-05,white,Age 55 to 59,Lab
East Midlands,male,2015-05-01,white,Age 45 to 49,Don't know
East Midlands,male,2015-04-17,asian,Age 20 to 24,Lab
East Midlands,male,2015-04-15,white,Age 65 to 69,UKIP
East Midlands,male,2015-04-06,white,Age 70 to 74,UKIP
East Midlands,female,2015-04-02,white,Age 55 to 59,Lab
East Midlands,male,2015-04-25,white,Age 60 to 64,Other
East Midlands,male,2015-04-22,white,Age 55 to 59,LD
East Midlands,male,2015-04-20,white,Age 45 to 49,Lab
East Midlands,female,2015-05-04,white,Age 35 to 39,LD
East Midlands,female,2015-04-04,white,Age 20 to 24,Con
East Midlands,male,2015-04-27,white,Age 45 to 49,Lab
East Midlands,male,2015-05-02,white,Age 65 to 69,Lab
East Midlands,female,2015-04-05,white,Age 60 to 64,Don't know
East Midlands,male,2015-04-21,white,Age 60 to 64,UKIP
East Midlands,male,2015-04-23,white,Age 50 to 54,Lab
East Midlands,female,2015-05-05,white,Age 35 to 39,Lab
East Midlands,female,2015-04-14,white,Age 80 to 84,Con
East Midlands,female,2015-04-22,white,Age 30 to 34,Con
East Midlands,female,2015-04-07,white,Age 55 to 59,UKIP
East Midlands,female,2015-04-01,white,Age 35 to 39,Con
South East,female,2015-04-25,white,Age 60 to 64,Lab
South East,female,2015-05-04,white,Age 75 to 79,Con
South East,male,2015-04-27,white,Age 20 to 24,UKIP
South East,male,2015-05-01,white,Age 55 to 59,Con
South East,male,2015-04-24,white,Age 35 to 39,Con
South East,male,2015-04-23,white,Age 50 to 54,Lab
South East,female,2015-05-06,white,Age 45 to 49,LD
South East,male,2015-05-02,white,Age 55 to 59,UKIP
South East,female,2015-04-02,white,Age 30 to 34,LD
South East,male,2015-04-14,white,Age 70 to 74,UKIP
South East,female,2015-04-01,white,Age 65 to 69,Con
South East,female,2015-04-21,white,Age 60 to 64,LD
South East,female,2015-04-09,white,Age 70 to 74,Con
South East,female,2015-04-25,white,Age 60 to 64,Con
South East,female,2015-04-23,white,Age 40 to 44,Con
South East,female,2015-04-05,white,Age 40 to 44,Con
South East,female,2015-04-14,white,Age 55 to 59,UKIP
South East,female,2015-04-13,white,Age 35 to 39,Lab
South East,female,2015-04-26,white,Age 45 to 49,Lab
South East,male,2015-04-23,white,Age 30 to 34,UKIP
South East,female,2015-04-02,white,Age 25 to 29,Lab
South East,male,2015-04-13,white,Age 65 to 69,Con
South East,female,2015-04-17,white,Age 65 to 69,Con
South East,female,2015-04-04,white,Age 50 to 54,Lab
South East,female,2015-04-14,white,Age 65 to 69,Don't know
South East,male,2015-04-09,white,Age 50 to 54,Don't vote
South East,female,2015-04-15,white,Age 60 to 64,Con
South East,female,2015-04-24,white,Age 20 to 24,Grn
South East,male,2015-03-30,white,Age 45 to 49,Con
South East,female,2015-05-02,white,Age 25 to 29,Con
South East,female,2015-04-23,white,Age 65 to 69,Con
South East,female,2015-05-05,white,Age 45 to 49,Lab
South East,female,2015-05-05,white,Age 60 to 64,Don't know
South East,male,2015-04-21,white,Age 50 to 54,Con
South East,female,2015-04-27,white,Age 50 to 54,Lab
South East,female,2015-04-19,white,Age 25 to 29,Don't vote
South East,male,2015-04-12,white,Age 70 to 74,Con
South East,female,2015-04-04,white,Age 60 to 64,Con
South East,female,2015-04-01,white,Age 55 to 59,Don't vote
South East,female,2015-04-29,white,Age 55 to 59,Con
South East,female,2015-05-05,white,Age 35 to 39,Con
South East,male,2015-04-03,white,Age 50 to 54,Lab
South East,female,2015-04-07,white,Age 20 to 24,Don't know
South East,female,2015-04-18,white,Age 25 to 29,Lab
South East,male,2015-04-11,white,Age 60 to 64,Con
South East,male,2015-04-20,white,Age 45 to 49,Con
South East,male,2015-04-24,white,Age 75 to 79,UKIP
South East,male,2015-05-01,white,Age 60 to 64,UKIP
South East,male,2015-05-06,white,Age 30 to 34,Con
South East,female,2015-03-31,white,Age 70 to 74,Lab
South East,male,2015-04-15,white,Age 55 to 59,UKIP
South East,female,2015-04-24,white,Age 60 to 64,Con
South East,male,2015-04-28,white,Age 65 to 69,Don't know
South East,female,2015-04-29,white,Age 55 to 59,Con
South East,female,2015-03-30,white,Age 40 to 44,Con
South East,male,2015-03-31,white,Age 55 to 59,Don't know
South East,female,2015-03-31,white,Age 20 to 24,Grn
South East,female,2015-05-03,white,Age 60 to 64,Con
South East,male,2015-04-14,white,Age 60 to 64,UKIP
South East,male,2015-04-07,white,Age 25 to 29,Lab
South East,female,2015-04-23,white,Age 60 to 64,Con
South East,female,2015-04-04,white,Age 35 to 39,Don't know
