"Population"	"Units"	"Date"	"Sex"	"Ethnic Grou"	"region"	"Age"	"value type"	"value"	"flag"
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North West"	"Age 65 to 69"	"number"	162443	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North West"	"Age 70 to 74"	"number"	130095	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North West"	"Age 75 to 79"	"number"	98252	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North West"	"Age 80 to 84"	"number"	65776	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"North West"	"Age 85 and over"	"number"	46055	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Yorkshire and The Humber"	"Age 0 to 4"	"number"	133044	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Yorkshire and The Humber"	"Age 5 to 7"	"number"	74630	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Yorkshire and The Humber"	"Age 8 to 9"	"number"	47397	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Yorkshire and The Humber"	"Age 10 to 14"	"number"	130394	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Yorkshire and The Humber"	"Age 15"	"number"	28694	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Yorkshire and The Humber"	"Age 16 to 17"	"number"	57267	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Yorkshire and The Humber"	"Age 18 to 19"	"number"	65203	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Yorkshire and The Humber"	"Age 20 to 24"	"number"	161814	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Yorkshire and The Humber"	"Age 25 to 29"	"number"	143521	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Yorkshire and The Humber"	"Age 30 to 34"	"number"	130973	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Yorkshire and The Humber"	"Age 35 to 39"	"number"	143230	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Yorkshire and The Humber"	"Age 40 to 44"	"number"	169694	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Yorkshire and The Humber"	"Age 45 to 49"	"number"	176569	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Yorkshire and The Humber"	"Age 50 to 54"	"number"	159879	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Yorkshire and The Humber"	"Age 55 to 59"	"number"	143492	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Yorkshire and The Humber"	"Age 60 to 64"	"number"	155876	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Yorkshire and The Humber"	"Age 65 to 69"	"number"	119215	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Yorkshire and The Humber"	"Age 70 to 74"	"number"	95226	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Yorkshire and The Humber"	"Age 75 to 79"	"number"	73167	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Yorkshire and The Humber"	"Age 80 to 84"	"number"	49240	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Yorkshire and The Humber"	"Age 85 and over"	"number"	35959	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East Midlands"	"Age 0 to 4"	"number"	113877	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East Midlands"	"Age 5 to 7"	"number"	64838	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East Midlands"	"Age 8 to 9"	"number"	41357	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East Midlands"	"Age 10 to 14"	"number"	116198	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East Midlands"	"Age 15"	"number"	25254	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East Midlands"	"Age 16 to 17"	"number"	50956	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East Midlands"	"Age 18 to 19"	"number"	53890	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East Midlands"	"Age 20 to 24"	"number"	129486	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East Midlands"	"Age 25 to 29"	"number"	116531	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East Midlands"	"Age 30 to 34"	"number"	111674	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East Midlands"	"Age 35 to 39"	"number"	125312	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East Midlands"	"Age 40 to 44"	"number"	149189	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East Midlands"	"Age 45 to 49"	"number"	154245	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East Midlands"	"Age 50 to 54"	"number"	136615	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East Midlands"	"Age 55 to 59"	"number"	124748	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East Midlands"	"Age 60 to 64"	"number"	138558	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East Midlands"	"Age 65 to 69"	"number"	109735	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East Midlands"	"Age 70 to 74"	"number"	83969	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East Midlands"	"Age 75 to 79"	"number"	64664	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East Midlands"	"Age 80 to 84"	"number"	44204	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East Midlands"	"Age 85 and over"	"number"	32807	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"West Midlands"	"Age 0 to 4"	"number"	128825	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"West Midlands"	"Age 5 to 7"	"number"	73042	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"West Midlands"	"Age 8 to 9"	"number"	46911	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"West Midlands"	"Age 10 to 14"	"number"	132146	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"West Midlands"	"Age 15"	"number"	28553	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"West Midlands"	"Age 16 to 17"	"number"	57734	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"West Midlands"	"Age 18 to 19"	"number"	60390	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"West Midlands"	"Age 20 to 24"	"number"	148012	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"West Midlands"	"Age 25 to 29"	"number"	137063	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"West Midlands"	"Age 30 to 34"	"number"	127561	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"West Midlands"	"Age 35 to 39"	"number"	141376	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"West Midlands"	"Age 40 to 44"	"number"	167834	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"West Midlands"	"Age 45 to 49"	"number"	174473	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"West Midlands"	"Age 50 to 54"	"number"	155007	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"West Midlands"	"Age 55 to 59"	"number"	143349	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"West Midlands"	"Age 60 to 64"	"number"	156225	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"West Midlands"	"Age 65 to 69"	"number"	130005	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"West Midlands"	"Age 70 to 74"	"number"	100171	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"West Midlands"	"Age 75 to 79"	"number"	76438	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"West Midlands"	"Age 80 to 84"	"number"	52759	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"West Midlands"	"Age 85 and over"	"number"	37477	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East"	"Age 0 to 4"	"number"	154837	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East"	"Age 5 to 7"	"number"	87520	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East"	"Age 8 to 9"	"number"	56370	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East"	"Age 10 to 14"	"number"	155513	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East"	"Age 15"	"number"	32896	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East"	"Age 16 to 17"	"number"	67402	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East"	"Age 18 to 19"	"number"	61878	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East"	"Age 20 to 24"	"number"	156304	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East"	"Age 25 to 29"	"number"	155917	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East"	"Age 30 to 34"	"number"	154986	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East"	"Age 35 to 39"	"number"	168244	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East"	"Age 40 to 44"	"number"	193567	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East"	"Age 45 to 49"	"number"	199493	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East"	"Age 50 to 54"	"number"	177530	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East"	"Age 55 to 59"	"number"	159133	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East"	"Age 60 to 64"	"number"	176053	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East"	"Age 65 to 69"	"number"	139804	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East"	"Age 70 to 74"	"number"	109703	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East"	"Age 75 to 79"	"number"	88767	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East"	"Age 80 to 84"	"number"	62464	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"East"	"Age 85 and over"	"number"	46974	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"London"	"Age 0 to 4"	"number"	142586	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"London"	"Age 5 to 7"	"number"	68737	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"London"	"Age 8 to 9"	"number"	42004	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"London"	"Age 10 to 14"	"number"	110146	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"London"	"Age 15"	"number"	23268	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"London"	"Age 16 to 17"	"number"	46342	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"London"	"Age 18 to 19"	"number"	47390	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"London"	"Age 20 to 24"	"number"	164935	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"London"	"Age 25 to 29"	"number"	248624	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"London"	"Age 30 to 34"	"number"	247327	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"London"	"Age 35 to 39"	"number"	205936	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"London"	"Age 40 to 44"	"number"	186228	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"London"	"Age 45 to 49"	"number"	173027	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"London"	"Age 50 to 54"	"number"	149366	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"London"	"Age 55 to 59"	"number"	126291	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"London"	"Age 60 to 64"	"number"	128665	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"London"	"Age 65 to 69"	"number"	93594	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"London"	"Age 70 to 74"	"number"	71915	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"London"	"Age 75 to 79"	"number"	59309	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"London"	"Age 80 to 84"	"number"	43968	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"London"	"Age 85 and over"	"number"	35139	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South East"	"Age 0 to 4"	"number"	229438	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South East"	"Age 5 to 7"	"number"	130482	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South East"	"Age 8 to 9"	"number"	83993	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South East"	"Age 10 to 14"	"number"	231437	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South East"	"Age 15"	"number"	48837	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South East"	"Age 16 to 17"	"number"	98572	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South East"	"Age 18 to 19"	"number"	97178	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South East"	"Age 20 to 24"	"number"	235513	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South East"	"Age 25 to 29"	"number"	226713	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South East"	"Age 30 to 34"	"number"	226334	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South East"	"Age 35 to 39"	"number"	249172	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South East"	"Age 40 to 44"	"number"	287469	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South East"	"Age 45 to 49"	"number"	300564	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South East"	"Age 50 to 54"	"number"	265224	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South East"	"Age 55 to 59"	"number"	232171	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South East"	"Age 60 to 64"	"number"	253375	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South East"	"Age 65 to 69"	"number"	199231	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South East"	"Age 70 to 74"	"number"	155118	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South East"	"Age 75 to 79"	"number"	124925	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South East"	"Age 80 to 84"	"number"	89374	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South East"	"Age 85 and over"	"number"	69765	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South West"	"Age 0 to 4"	"number"	137750	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South West"	"Age 5 to 7"	"number"	78411	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South West"	"Age 8 to 9"	"number"	50902	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South West"	"Age 10 to 14"	"number"	142216	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South West"	"Age 15"	"number"	31068	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South West"	"Age 16 to 17"	"number"	61886	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South West"	"Age 18 to 19"	"number"	64282	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South West"	"Age 20 to 24"	"number"	157881	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South West"	"Age 25 to 29"	"number"	143848	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South West"	"Age 30 to 34"	"number"	137161	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South West"	"Age 35 to 39"	"number"	149153	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South West"	"Age 40 to 44"	"number"	176398	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South West"	"Age 45 to 49"	"number"	185061	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South West"	"Age 50 to 54"	"number"	167445	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South West"	"Age 55 to 59"	"number"	154515	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South West"	"Age 60 to 64"	"number"	173934	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South West"	"Age 65 to 69"	"number"	143218	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South West"	"Age 70 to 74"	"number"	111147	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South West"	"Age 75 to 79"	"number"	88269	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South West"	"Age 80 to 84"	"number"	63577	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"South West"	"Age 85 and over"	"number"	50062	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Wales"	"Age 0 to 4"	"number"	84269	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Wales"	"Age 5 to 7"	"number"	47159	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Wales"	"Age 8 to 9"	"number"	30791	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Wales"	"Age 10 to 14"	"number"	85984	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Wales"	"Age 15"	"number"	18267	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Wales"	"Age 16 to 17"	"number"	37338	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Wales"	"Age 18 to 19"	"number"	39971	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Wales"	"Age 20 to 24"	"number"	99981	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Wales"	"Age 25 to 29"	"number"	86453	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Wales"	"Age 30 to 34"	"number"	80645	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Wales"	"Age 35 to 39"	"number"	84198	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Wales"	"Age 40 to 44"	"number"	99535	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Wales"	"Age 45 to 49"	"number"	104818	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Wales"	"Age 50 to 54"	"number"	96044	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Wales"	"Age 55 to 59"	"number"	89844	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Wales"	"Age 60 to 64"	"number"	99548	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Wales"	"Age 65 to 69"	"number"	80102	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Wales"	"Age 70 to 74"	"number"	63420	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Wales"	"Age 75 to 79"	"number"	48334	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Wales"	"Age 80 to 84"	"number"	32574	""
"All usual residents"	"Persons"	"2011"	"Males"	"White: Total"	"Wales"	"Age 85 and over"	"number"	23577	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 0 to 4"	"number"	1996	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 5 to 7"	"number"	896	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 8 to 9"	"number"	504	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 10 to 14"	"number"	1135	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 15"	"number"	214	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 16 to 17"	"number"	363	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 18 to 19"	"number"	529	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 20 to 24"	"number"	1137	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 25 to 29"	"number"	869	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 30 to 34"	"number"	764	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 35 to 39"	"number"	598	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 40 to 44"	"number"	563	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 45 to 49"	"number"	555	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 50 to 54"	"number"	403	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 55 to 59"	"number"	234	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 60 to 64"	"number"	188	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 65 to 69"	"number"	133	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 70 to 74"	"number"	115	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 75 to 79"	"number"	79	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 80 to 84"	"number"	57	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 85 and over"	"number"	42	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 0 to 4"	"number"	9484	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 5 to 7"	"number"	4499	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 8 to 9"	"number"	2707	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 10 to 14"	"number"	6486	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 15"	"number"	1282	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 16 to 17"	"number"	2411	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 18 to 19"	"number"	2369	""
