"Population"	"Units"	"Date"	"Age"	"Ethnic Grou"	"region"	"Highest Level of Qualification"	"value type"	"value"	"flag"
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"Yorkshire and The Humber"	"Level 3 qualifications"	"number"	160546	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"Yorkshire and The Humber"	"Level 4 qualifications and above"	"number"	62021	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"Yorkshire and The Humber"	"Other qualifications"	"number"	12014	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"East Midlands"	"No qualifications"	"number"	53349	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"East Midlands"	"Level 1 qualifications"	"number"	84228	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"East Midlands"	"Level 2 qualifications"	"number"	126385	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"East Midlands"	"Apprenticeship"	"number"	14297	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"East Midlands"	"Level 3 qualifications"	"number"	125813	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"East Midlands"	"Level 4 qualifications and above"	"number"	48239	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"East Midlands"	"Other qualifications"	"number"	10907	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"West Midlands"	"No qualifications"	"number"	64958	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"West Midlands"	"Level 1 qualifications"	"number"	97379	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"West Midlands"	"Level 2 qualifications"	"number"	144834	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"West Midlands"	"Apprenticeship"	"number"	15964	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"West Midlands"	"Level 3 qualifications"	"number"	130738	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"West Midlands"	"Level 4 qualifications and above"	"number"	57373	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"West Midlands"	"Other qualifications"	"number"	12581	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"East"	"No qualifications"	"number"	61616	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"East"	"Level 1 qualifications"	"number"	109728	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"East"	"Level 2 qualifications"	"number"	166095	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"East"	"Apprenticeship"	"number"	15775	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"East"	"Level 3 qualifications"	"number"	126927	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"East"	"Level 4 qualifications and above"	"number"	63876	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"East"	"Other qualifications"	"number"	15301	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"London"	"No qualifications"	"number"	52215	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"London"	"Level 1 qualifications"	"number"	73744	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"London"	"Level 2 qualifications"	"number"	114922	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"London"	"Apprenticeship"	"number"	9263	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"London"	"Level 3 qualifications"	"number"	122365	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"London"	"Level 4 qualifications and above"	"number"	125155	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"London"	"Other qualifications"	"number"	33586	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"South East"	"No qualifications"	"number"	81502	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"South East"	"Level 1 qualifications"	"number"	150981	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"South East"	"Level 2 qualifications"	"number"	243073	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"South East"	"Apprenticeship"	"number"	20955	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"South East"	"Level 3 qualifications"	"number"	227065	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"South East"	"Level 4 qualifications and above"	"number"	104156	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"South East"	"Other qualifications"	"number"	20182	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"South West"	"No qualifications"	"number"	53721	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"South West"	"Level 1 qualifications"	"number"	98688	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"South West"	"Level 2 qualifications"	"number"	157279	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"South West"	"Apprenticeship"	"number"	17531	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"South West"	"Level 3 qualifications"	"number"	155945	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"South West"	"Level 4 qualifications and above"	"number"	61226	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"South West"	"Other qualifications"	"number"	11211	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"Wales"	"No qualifications"	"number"	42300	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"Wales"	"Level 1 qualifications"	"number"	64801	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"Wales"	"Level 2 qualifications"	"number"	96384	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"Wales"	"Apprenticeship"	"number"	8978	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"Wales"	"Level 3 qualifications"	"number"	91582	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"Wales"	"Level 4 qualifications and above"	"number"	38823	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"White: Total"	"Wales"	"Other qualifications"	"number"	6156	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"North East"	"No qualifications"	"number"	449	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"North East"	"Level 1 qualifications"	"number"	583	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"North East"	"Level 2 qualifications"	"number"	971	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"North East"	"Apprenticeship"	"number"	95	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"North East"	"Level 3 qualifications"	"number"	1284	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"North East"	"Level 4 qualifications and above"	"number"	529	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"North East"	"Other qualifications"	"number"	91	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"North West"	"No qualifications"	"number"	2534	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"North West"	"Level 1 qualifications"	"number"	3662	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"North West"	"Level 2 qualifications"	"number"	5538	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"North West"	"Apprenticeship"	"number"	442	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"North West"	"Level 3 qualifications"	"number"	5501	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"North West"	"Level 4 qualifications and above"	"number"	2406	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"North West"	"Other qualifications"	"number"	550	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"Yorkshire and The Humber"	"No qualifications"	"number"	2311	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"Yorkshire and The Humber"	"Level 1 qualifications"	"number"	3102	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"Yorkshire and The Humber"	"Level 2 qualifications"	"number"	4213	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"Yorkshire and The Humber"	"Apprenticeship"	"number"	379	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"Yorkshire and The Humber"	"Level 3 qualifications"	"number"	4488	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"Yorkshire and The Humber"	"Level 4 qualifications and above"	"number"	1627	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"Yorkshire and The Humber"	"Other qualifications"	"number"	511	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"East Midlands"	"No qualifications"	"number"	2255	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"East Midlands"	"Level 1 qualifications"	"number"	3571	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"East Midlands"	"Level 2 qualifications"	"number"	4753	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"East Midlands"	"Apprenticeship"	"number"	377	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"East Midlands"	"Level 3 qualifications"	"number"	4674	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"East Midlands"	"Level 4 qualifications and above"	"number"	1554	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"East Midlands"	"Other qualifications"	"number"	433	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"West Midlands"	"No qualifications"	"number"	3982	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"West Midlands"	"Level 1 qualifications"	"number"	5898	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"West Midlands"	"Level 2 qualifications"	"number"	7558	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"West Midlands"	"Apprenticeship"	"number"	605	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"West Midlands"	"Level 3 qualifications"	"number"	5836	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"West Midlands"	"Level 4 qualifications and above"	"number"	2308	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"West Midlands"	"Other qualifications"	"number"	601	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"East"	"No qualifications"	"number"	2134	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"East"	"Level 1 qualifications"	"number"	3684	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"East"	"Level 2 qualifications"	"number"	5681	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"East"	"Apprenticeship"	"number"	394	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"East"	"Level 3 qualifications"	"number"	4424	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"East"	"Level 4 qualifications and above"	"number"	2202	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"East"	"Other qualifications"	"number"	619	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"London"	"No qualifications"	"number"	7151	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"London"	"Level 1 qualifications"	"number"	11691	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"London"	"Level 2 qualifications"	"number"	17202	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"London"	"Apprenticeship"	"number"	1006	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"London"	"Level 3 qualifications"	"number"	15303	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"London"	"Level 4 qualifications and above"	"number"	11555	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"London"	"Other qualifications"	"number"	2759	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"South East"	"No qualifications"	"number"	2935	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"South East"	"Level 1 qualifications"	"number"	4780	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"South East"	"Level 2 qualifications"	"number"	8153	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"South East"	"Apprenticeship"	"number"	453	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"South East"	"Level 3 qualifications"	"number"	8318	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"South East"	"Level 4 qualifications and above"	"number"	3233	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"South East"	"Other qualifications"	"number"	853	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"South West"	"No qualifications"	"number"	1452	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"South West"	"Level 1 qualifications"	"number"	2365	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"South West"	"Level 2 qualifications"	"number"	3632	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"South West"	"Apprenticeship"	"number"	259	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"South West"	"Level 3 qualifications"	"number"	3930	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"South West"	"Level 4 qualifications and above"	"number"	1436	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"South West"	"Other qualifications"	"number"	383	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"Wales"	"No qualifications"	"number"	864	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"Wales"	"Level 1 qualifications"	"number"	1158	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"Wales"	"Level 2 qualifications"	"number"	1601	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"Wales"	"Apprenticeship"	"number"	82	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"Wales"	"Level 3 qualifications"	"number"	1592	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"Wales"	"Level 4 qualifications and above"	"number"	684	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Mixed/multiple ethnic group"	"Wales"	"Other qualifications"	"number"	149	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"North East"	"No qualifications"	"number"	1127	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"North East"	"Level 1 qualifications"	"number"	2007	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"North East"	"Level 2 qualifications"	"number"	2267	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"North East"	"Apprenticeship"	"number"	136	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"North East"	"Level 3 qualifications"	"number"	3481	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"North East"	"Level 4 qualifications and above"	"number"	4181	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"North East"	"Other qualifications"	"number"	2149	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"North West"	"No qualifications"	"number"	6478	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"North West"	"Level 1 qualifications"	"number"	12514	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"North West"	"Level 2 qualifications"	"number"	15486	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"North West"	"Apprenticeship"	"number"	683	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"North West"	"Level 3 qualifications"	"number"	18020	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"North West"	"Level 4 qualifications and above"	"number"	13534	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"North West"	"Other qualifications"	"number"	6191	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"Yorkshire and The Humber"	"No qualifications"	"number"	6765	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"Yorkshire and The Humber"	"Level 1 qualifications"	"number"	11746	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"Yorkshire and The Humber"	"Level 2 qualifications"	"number"	13716	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"Yorkshire and The Humber"	"Apprenticeship"	"number"	884	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"Yorkshire and The Humber"	"Level 3 qualifications"	"number"	15849	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"Yorkshire and The Humber"	"Level 4 qualifications and above"	"number"	11320	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"Yorkshire and The Humber"	"Other qualifications"	"number"	5629	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"East Midlands"	"No qualifications"	"number"	3470	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"East Midlands"	"Level 1 qualifications"	"number"	7049	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"East Midlands"	"Level 2 qualifications"	"number"	10017	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"East Midlands"	"Apprenticeship"	"number"	424	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"East Midlands"	"Level 3 qualifications"	"number"	14546	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"East Midlands"	"Level 4 qualifications and above"	"number"	10809	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"East Midlands"	"Other qualifications"	"number"	4115	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"West Midlands"	"No qualifications"	"number"	8827	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"West Midlands"	"Level 1 qualifications"	"number"	16607	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"West Midlands"	"Level 2 qualifications"	"number"	20671	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"West Midlands"	"Apprenticeship"	"number"	1059	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"West Midlands"	"Level 3 qualifications"	"number"	23672	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"West Midlands"	"Level 4 qualifications and above"	"number"	17877	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"West Midlands"	"Other qualifications"	"number"	6539	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"East"	"No qualifications"	"number"	3241	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"East"	"Level 1 qualifications"	"number"	6094	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"East"	"Level 2 qualifications"	"number"	8424	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"East"	"Apprenticeship"	"number"	339	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"East"	"Level 3 qualifications"	"number"	9711	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"East"	"Level 4 qualifications and above"	"number"	8789	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"East"	"Other qualifications"	"number"	3666	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"London"	"No qualifications"	"number"	13171	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"London"	"Level 1 qualifications"	"number"	29754	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"London"	"Level 2 qualifications"	"number"	45063	""
