"Population"	"Units"	"Date"	"Sex"	"Highest Level of Qualificatio"	"region"	"Age"	"value type"	"value"	"flag"
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"Yorkshire and The Humber"	"Age 16 to 18"	"number"	18227	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"Yorkshire and The Humber"	"Age 19 to 24"	"number"	23321	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"Yorkshire and The Humber"	"Age 25 to 29"	"number"	20525	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"Yorkshire and The Humber"	"Age 30 to 34"	"number"	20543	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"Yorkshire and The Humber"	"Age 35 to 39"	"number"	24157	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"Yorkshire and The Humber"	"Age 40 to 44"	"number"	30813	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"Yorkshire and The Humber"	"Age 45 to 49"	"number"	33847	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"Yorkshire and The Humber"	"Age 50 to 54"	"number"	35612	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"Yorkshire and The Humber"	"Age 55 to 59"	"number"	38545	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"Yorkshire and The Humber"	"Age 60 to 64"	"number"	50182	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"Yorkshire and The Humber"	"Age 65 and over"	"number"	185574	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"East Midlands"	"Age 16 to 18"	"number"	15608	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"East Midlands"	"Age 19 to 24"	"number"	17469	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"East Midlands"	"Age 25 to 29"	"number"	15618	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"East Midlands"	"Age 30 to 34"	"number"	14750	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"East Midlands"	"Age 35 to 39"	"number"	17549	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"East Midlands"	"Age 40 to 44"	"number"	21526	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"East Midlands"	"Age 45 to 49"	"number"	25585	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"East Midlands"	"Age 50 to 54"	"number"	28649	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"East Midlands"	"Age 55 to 59"	"number"	32592	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"East Midlands"	"Age 60 to 64"	"number"	44258	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"East Midlands"	"Age 65 and over"	"number"	165351	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"West Midlands"	"Age 16 to 18"	"number"	19591	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"West Midlands"	"Age 19 to 24"	"number"	25128	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"West Midlands"	"Age 25 to 29"	"number"	22816	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"West Midlands"	"Age 30 to 34"	"number"	22408	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"West Midlands"	"Age 35 to 39"	"number"	26397	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"West Midlands"	"Age 40 to 44"	"number"	32581	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"West Midlands"	"Age 45 to 49"	"number"	36751	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"West Midlands"	"Age 50 to 54"	"number"	37850	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"West Midlands"	"Age 55 to 59"	"number"	43197	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"West Midlands"	"Age 60 to 64"	"number"	54958	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"West Midlands"	"Age 65 and over"	"number"	211771	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"East"	"Age 16 to 18"	"number"	19315	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"East"	"Age 19 to 24"	"number"	18956	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"East"	"Age 25 to 29"	"number"	16508	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"East"	"Age 30 to 34"	"number"	15776	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"East"	"Age 35 to 39"	"number"	18772	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"East"	"Age 40 to 44"	"number"	24109	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"East"	"Age 45 to 49"	"number"	28822	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"East"	"Age 50 to 54"	"number"	31199	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"East"	"Age 55 to 59"	"number"	35179	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"East"	"Age 60 to 64"	"number"	50523	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"East"	"Age 65 and over"	"number"	206769	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"London"	"Age 16 to 18"	"number"	22512	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"London"	"Age 19 to 24"	"number"	25113	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"London"	"Age 25 to 29"	"number"	26668	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"London"	"Age 30 to 34"	"number"	28648	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"London"	"Age 35 to 39"	"number"	32848	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"London"	"Age 40 to 44"	"number"	39427	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"London"	"Age 45 to 49"	"number"	41674	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"London"	"Age 50 to 54"	"number"	42225	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"London"	"Age 55 to 59"	"number"	39795	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"London"	"Age 60 to 64"	"number"	44887	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"London"	"Age 65 and over"	"number"	171459	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"South East"	"Age 16 to 18"	"number"	26621	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"South East"	"Age 19 to 24"	"number"	23817	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"South East"	"Age 25 to 29"	"number"	20648	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"South East"	"Age 30 to 34"	"number"	19538	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"South East"	"Age 35 to 39"	"number"	23008	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"South East"	"Age 40 to 44"	"number"	29925	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"South East"	"Age 45 to 49"	"number"	35825	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"South East"	"Age 50 to 54"	"number"	39004	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"South East"	"Age 55 to 59"	"number"	43705	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"South East"	"Age 60 to 64"	"number"	61273	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"South East"	"Age 65 and over"	"number"	248879	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"South West"	"Age 16 to 18"	"number"	16566	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"South West"	"Age 19 to 24"	"number"	14841	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"South West"	"Age 25 to 29"	"number"	11986	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"South West"	"Age 30 to 34"	"number"	11338	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"South West"	"Age 35 to 39"	"number"	14179	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"South West"	"Age 40 to 44"	"number"	18451	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"South West"	"Age 45 to 49"	"number"	23236	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"South West"	"Age 50 to 54"	"number"	25694	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"South West"	"Age 55 to 59"	"number"	29229	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"South West"	"Age 60 to 64"	"number"	41940	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"South West"	"Age 65 and over"	"number"	177581	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"Wales"	"Age 16 to 18"	"number"	11663	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"Wales"	"Age 19 to 24"	"number"	13134	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"Wales"	"Age 25 to 29"	"number"	10877	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"Wales"	"Age 30 to 34"	"number"	10865	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"Wales"	"Age 35 to 39"	"number"	12793	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"Wales"	"Age 40 to 44"	"number"	16885	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"Wales"	"Age 45 to 49"	"number"	21172	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"Wales"	"Age 50 to 54"	"number"	21956	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"Wales"	"Age 55 to 59"	"number"	24133	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"Wales"	"Age 60 to 64"	"number"	31731	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"No qualifications"	"Wales"	"Age 65 and over"	"number"	116900	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"North East"	"Age 16 to 18"	"number"	12406	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"North East"	"Age 19 to 24"	"number"	17340	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"North East"	"Age 25 to 29"	"number"	11936	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"North East"	"Age 30 to 34"	"number"	10294	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"North East"	"Age 35 to 39"	"number"	12455	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"North East"	"Age 40 to 44"	"number"	18583	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"North East"	"Age 45 to 49"	"number"	19124	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"North East"	"Age 50 to 54"	"number"	12850	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"North East"	"Age 55 to 59"	"number"	7311	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"North East"	"Age 60 to 64"	"number"	5963	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"North East"	"Age 65 and over"	"number"	7442	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"North West"	"Age 16 to 18"	"number"	34044	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"North West"	"Age 19 to 24"	"number"	47026	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"North West"	"Age 25 to 29"	"number"	34019	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"North West"	"Age 30 to 34"	"number"	28809	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"North West"	"Age 35 to 39"	"number"	33922	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"North West"	"Age 40 to 44"	"number"	49403	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"North West"	"Age 45 to 49"	"number"	47847	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"North West"	"Age 50 to 54"	"number"	33347	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"North West"	"Age 55 to 59"	"number"	19478	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"North West"	"Age 60 to 64"	"number"	16890	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"North West"	"Age 65 and over"	"number"	24074	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"Yorkshire and The Humber"	"Age 16 to 18"	"number"	26199	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"Yorkshire and The Humber"	"Age 19 to 24"	"number"	35986	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"Yorkshire and The Humber"	"Age 25 to 29"	"number"	26641	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"Yorkshire and The Humber"	"Age 30 to 34"	"number"	22438	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"Yorkshire and The Humber"	"Age 35 to 39"	"number"	26207	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"Yorkshire and The Humber"	"Age 40 to 44"	"number"	36975	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"Yorkshire and The Humber"	"Age 45 to 49"	"number"	34619	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"Yorkshire and The Humber"	"Age 50 to 54"	"number"	23586	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"Yorkshire and The Humber"	"Age 55 to 59"	"number"	14388	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"Yorkshire and The Humber"	"Age 60 to 64"	"number"	11753	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"Yorkshire and The Humber"	"Age 65 and over"	"number"	17301	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"East Midlands"	"Age 16 to 18"	"number"	23154	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"East Midlands"	"Age 19 to 24"	"number"	30874	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"East Midlands"	"Age 25 to 29"	"number"	21021	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"East Midlands"	"Age 30 to 34"	"number"	18740	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"East Midlands"	"Age 35 to 39"	"number"	22621	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"East Midlands"	"Age 40 to 44"	"number"	33531	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"East Midlands"	"Age 45 to 49"	"number"	31788	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"East Midlands"	"Age 50 to 54"	"number"	21646	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"East Midlands"	"Age 55 to 59"	"number"	12805	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"East Midlands"	"Age 60 to 64"	"number"	11342	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"East Midlands"	"Age 65 and over"	"number"	16588	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"West Midlands"	"Age 16 to 18"	"number"	30037	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"West Midlands"	"Age 19 to 24"	"number"	39496	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"West Midlands"	"Age 25 to 29"	"number"	27963	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"West Midlands"	"Age 30 to 34"	"number"	24853	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"West Midlands"	"Age 35 to 39"	"number"	28526	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"West Midlands"	"Age 40 to 44"	"number"	39855	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"West Midlands"	"Age 45 to 49"	"number"	37121	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"West Midlands"	"Age 50 to 54"	"number"	25276	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"West Midlands"	"Age 55 to 59"	"number"	15486	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"West Midlands"	"Age 60 to 64"	"number"	13276	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"West Midlands"	"Age 65 and over"	"number"	18700	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"East"	"Age 16 to 18"	"number"	29015	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"East"	"Age 19 to 24"	"number"	38710	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"East"	"Age 25 to 29"	"number"	27891	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"East"	"Age 30 to 34"	"number"	25865	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"East"	"Age 35 to 39"	"number"	30515	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"East"	"Age 40 to 44"	"number"	43047	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"East"	"Age 45 to 49"	"number"	40927	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"East"	"Age 50 to 54"	"number"	29013	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"East"	"Age 55 to 59"	"number"	18420	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"East"	"Age 60 to 64"	"number"	15925	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"East"	"Age 65 and over"	"number"	23898	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"London"	"Age 16 to 18"	"number"	36955	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"London"	"Age 19 to 24"	"number"	44865	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"London"	"Age 25 to 29"	"number"	33906	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"London"	"Age 30 to 34"	"number"	30672	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"London"	"Age 35 to 39"	"number"	30762	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"London"	"Age 40 to 44"	"number"	38422	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"London"	"Age 45 to 49"	"number"	36751	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"London"	"Age 50 to 54"	"number"	28198	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"London"	"Age 55 to 59"	"number"	18668	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"London"	"Age 60 to 64"	"number"	14376	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"London"	"Age 65 and over"	"number"	21139	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"South East"	"Age 16 to 18"	"number"	40423	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"South East"	"Age 19 to 24"	"number"	53345	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"South East"	"Age 25 to 29"	"number"	37490	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"South East"	"Age 30 to 34"	"number"	34277	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"South East"	"Age 35 to 39"	"number"	39517	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"South East"	"Age 40 to 44"	"number"	57203	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"South East"	"Age 45 to 49"	"number"	56054	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"South East"	"Age 50 to 54"	"number"	39361	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"South East"	"Age 55 to 59"	"number"	24969	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"South East"	"Age 60 to 64"	"number"	22866	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"South East"	"Age 65 and over"	"number"	35522	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"South West"	"Age 16 to 18"	"number"	24763	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"South West"	"Age 19 to 24"	"number"	33662	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"South West"	"Age 25 to 29"	"number"	22973	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"South West"	"Age 30 to 34"	"number"	20092	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"South West"	"Age 35 to 39"	"number"	24569	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"South West"	"Age 40 to 44"	"number"	36108	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"South West"	"Age 45 to 49"	"number"	35710	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 1 qualifications"	"South West"	"Age 50 to 54"	"number"	25482	""
